task_text,prompt,answer_num,task_type,unknown,gigachat_completion
"Из одного села в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 51 км/ч, второй со скоростью 97 км/ч, через сколько часов они окажутся на расстоянии 444 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",3,2,time,2
"В первый день путешественники прошли 20 км, а во второй на 7 км меньше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",33,4,time,27
"Из двух разных посёлков, расстояние между которыми 252 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 31 км/ч, второй со скоростью 67 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,1,time,4
"В первый день туристы прошли 26 км, а во второй на 14 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",38,4,distance,40
"В первый день пастух со стадом прошли 27 км, а во второй на 6 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",48,4,distance,33
"Из двух разных деревень, расстояние между которыми 188 км, навстречу друг другу одновременно выехали два грузовика. Первый ехал со скоростью 44 км/ч, второй со скоростью 50 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",2,3,time,4
"В первый день геологи прошли 25 км, а во второй на 13 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",37,4,distance,38
"Из одного посёлка в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 71 км/ч, второй со скоростью 75 км/ч, через сколько часов они окажутся на расстоянии 1314 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,2,time,2
"Из двух разных пунктов отправления, расстояние между которыми 234 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 24 км/ч, второй со скоростью 50 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,1,time,6
"В первый день кладоискатели прошли 20 км, а во второй на 13 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",53,4,first_speed,53
"В первый день путешественники прошли 26 км, а во второй на 12 км меньше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",40,4,distance,38
"В первый день путешественники прошли 26 км, а во второй на 7 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",59,4,first_speed,33
"Из двух разных городов, расстояние между которыми 396 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 44 км/ч, второй со скоростью 88 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,1,time,7
"Из двух разных городов в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 45 км/ч, второй ехал со скоростью 56 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",22,1,distance,110
"Из двух разных деревень в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 35 км/ч, второй ехал со скоростью 48 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",39,1,distance,105
"Из двух разных посёлков в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 19 км/ч, второй ехал со скоростью 34 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",135,1,distance,15
"В первый день геологи прошли 24 км, а во второй на 12 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",36,4,first_speed,36
"Из одного села в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 3 часов если первый ехал со скоростью 94 км/ч, а второй ехал со скоростью 29 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",369,2,distance,125
"В первый день кладоискатели прошли 28 км, а во второй на 9 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",65,4,first_speed,47
"Из двух разных деревень в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 43 км/ч, второй ехал со скоростью 75 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",256,1,distance,126
"Из двух разных городов в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 10 км/ч, второй ехал со скоростью 57 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",94,1,distance,100
"Из двух разных посёлков, расстояние между которыми 162 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 27 км/ч, второй со скоростью 54 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",6,1,time,3
"Из двух разных городов, расстояние между которыми 888 км, навстречу друг другу одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 59 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",89,3,first_speed,80
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 83 км/ч и через 1 часов они оказались на расстоянии 149 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",66,2,first_speed,83
"Из двух разных городов, расстояние между которыми 328 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 17 км/ч, второй со скоростью 58 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",8,1,time,2
"Из одного села в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 77 км/ч, второй со скоростью 98 км/ч, через сколько часов они окажутся на расстоянии 1575 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,2,time,2
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 2 часов если первый ехал со скоростью 44 км/ч, а второй ехал со скоростью 30 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",148,2,distance,110
"Из двух разных деревень навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 39 км/ч, второй ехал со скоростью 81 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",960,3,distance,120
"Из одного пункта отправления в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 68 км/ч и через 2 часов они оказались на расстоянии 252 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",58,2,first_speed,72
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 38 км/ч и через 4 часов они оказались на расстоянии 320 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",42,2,first_speed,56 км/ч
"В первый день геологи прошли 25 км, а во второй на 9 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",41,4,distance,34
"Из двух разных посёлков навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 47 км/ч, второй ехал со скоростью 26 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",146,3,distance,100
"Из двух разных деревень, расстояние между которыми 376 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 88 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",41,1,first_speed,99
"В первый день геологи прошли 21 км, а во второй на 7 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",35,4,distance,28
"В первый день туристы прошли 23 км, а во второй на 5 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",41,4,distance,28
"Из двух разных пунктов отправления, расстояние между которыми 84 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 51 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",30,1,first_speed,63
"Из двух разных городов, расстояние между которыми 185 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 15 км/ч, второй со скоростью 52 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",5,1,time,12
"В первый день путешественники прошли 28 км, а во второй на 8 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",64,4,first_speed,40
"В первый день кладоискатели прошли 25 км, а во второй на 13 км меньше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",37,4,first_speed,38
"Из двух разных деревень, расстояние между которыми 246 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 19 км/ч, второй со скоростью 60 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",6,1,time,3
"Из двух разных посёлков навстречу друг другу одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 31 км/ч, второй ехал со скоростью 66 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",582,3,distance,127
"Из двух разных деревень, расстояние между которыми 999 км, навстречу друг другу одновременно выехали два грузовика. Первый ехал со скоростью 69 км/ч, второй со скоростью 42 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,3,time,17
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 29 км/ч и через 4 часов они оказались на расстоянии 200 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",21,2,first_speed,30
"Из одного села в противоположном направлении одновременно выехали два автомобиля. На каком расстоянии друг от друга они окажутся через 6 часов если первый ехал со скоростью 45 км/ч, а второй ехал со скоростью 95 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",840,2,distance,140
"Из одного пункта отправления в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 58 км/ч и через 8 часов они оказались на расстоянии 928 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",58,2,first_speed,64 км/ч
"Из двух разных посёлков, расстояние между которыми 588 км, навстречу друг другу одновременно выехали два автобуса. Первый ехал со скоростью 83 км/ч, второй со скоростью 64 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,3,time,7
"Из одного посёлка в противоположном направлении одновременно выехали два автомобиля. На каком расстоянии друг от друга они окажутся через 7 часов если первый ехал со скоростью 36 км/ч, а второй ехал со скоростью 44 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",560,2,distance,126
"В первый день пастух со стадом прошли 25 км, а во второй на 7 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",43,4,time,32
"Из двух разных пунктов отправления, расстояние между которыми 82 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 22 км/ч, второй со скоростью 63 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",2,1,time,2
"Из двух разных городов, расстояние между которыми 33 км, в одинаковом направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 45 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",34,1,first_speed,60
"В первый день исследователи прошли 23 км, а во второй на 14 км меньше чем в первый. Сколько километров прошли исследователи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",32,4,first_speed,37
"В первый день кладоискатели прошли 22 км, а во второй на 14 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",58,4,time,36
"Из двух разных посёлков, расстояние между которыми 138 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 37 км/ч, второй со скоростью 60 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",6,1,time,2
"Из одного города в противоположном направлении одновременно выехали два автобуса. На каком расстоянии друг от друга они окажутся через 8 часов если первый ехал со скоростью 84 км/ч, а второй ехал со скоростью 50 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1072,2,distance,132
"Из двух разных деревень, расстояние между которыми 115 км, в одинаковом направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 41 км/ч, второй со скоростью 64 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",5,1,time,2
"Из двух разных посёлков, расстояние между которыми 119 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 31 км/ч, второй со скоростью 48 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,1,time,2
"В первый день туристы прошли 28 км, а во второй на 11 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",45,4,distance,49
"Из двух разных посёлков, расстояние между которыми 60 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 30 км/ч, второй со скоростью 50 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",3,1,time,2
"Из двух разных пунктов отправления в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 27 км/ч, второй ехал со скоростью 64 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",185,1,distance,108
"Из двух разных пунктов отправления, расстояние между которыми 560 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 23 км/ч, второй со скоростью 57 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,3,time,2
"Из одного посёлка в противоположном направлении одновременно выехали два автомобиля. Первый ехал со скоростью 68 км/ч, второй со скоростью 89 км/ч, через сколько часов они окажутся на расстоянии 157 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1,2,time,2
"Из двух разных деревень, расстояние между которыми 60 км, в одинаковом направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 69 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",39,1,first_speed,75
"Из двух разных городов в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 24 км/ч, второй ехал со скоростью 41 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",136,1,distance,126
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 38 км/ч, второй со скоростью 49 км/ч, через сколько часов они окажутся на расстоянии 783 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,2,time,2
"В первый день туристы прошли 23 км, а во второй на 13 км больше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",59,4,distance,56
"Из одного города в противоположном направлении одновременно выехали два мотоцикла. На каком расстоянии друг от друга они окажутся через 8 часов если первый ехал со скоростью 63 км/ч, а второй ехал со скоростью 77 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1120,2,distance,120
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 63 км/ч и через 3 часов они оказались на расстоянии 333 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",48,2,first_speed,50
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 59 км/ч, второй ехал со скоростью 79 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",552,3,distance,138
"Из одного посёлка в противоположном направлении одновременно выехали два мотоцикла. На каком расстоянии друг от друга они окажутся через 1 часов если первый ехал со скоростью 58 км/ч, а второй ехал со скоростью 85 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",143,2,distance,27
"Из двух разных деревень, расстояние между которыми 348 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 42 км/ч, второй со скоростью 74 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",3,3,time,6
"В первый день кладоискатели прошли 20 км, а во второй на 13 км меньше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",27,4,first_speed,33
"В первый день пастух со стадом прошли 28 км, а во второй на 6 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",50,4,first_speed,34
"Из двух разных городов, расстояние между которыми 80 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 21 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",11,1,first_speed,30
"В первый день туристы прошли 28 км, а во второй на 8 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",48,4,distance,36
"Из двух разных пунктов отправления, расстояние между которыми 180 км, в одинаковом направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 44 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",24,1,first_speed,50
"Из одного пункта отправления в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 93 км/ч, второй со скоростью 40 км/ч, через сколько часов они окажутся на расстоянии 133 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1,2,time,2
"Из двух разных городов, расстояние между которыми 176 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 47 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",41,3,first_speed,88
"Из одного посёлка в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 27 км/ч и через 8 часов они оказались на расстоянии 1008 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",99,2,first_speed,36
"Из двух разных деревень, расстояние между которыми 558 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 58 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",35,3,first_speed,90
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 30 км/ч, второй ехал со скоростью 90 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",720,3,distance,120
"В первый день путешественники прошли 22 км, а во второй на 11 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",55,4,time,33
"В первый день исследователи прошли 20 км, а во второй на 6 км больше чем в первый. Сколько километров прошли исследователи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",46,4,distance,26
"Из одного села в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 8 часов если первый ехал со скоростью 53 км/ч, а второй ехал со скоростью 93 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1168,2,distance,146
"Из двух разных деревень в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 49 км/ч, второй ехал со скоростью 92 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",344,1,distance,131
"В первый день туристы прошли 28 км, а во второй на 8 км больше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",64,4,distance,40
"Из двух разных пунктов отправления, расстояние между которыми 140 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 42 км/ч, второй со скоростью 77 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,1,time,2
"Из двух разных деревень в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 42 км/ч, второй ехал со скоростью 52 км/ч и они встретились через 7 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",70,1,distance,108
"Из двух разных деревень навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 61 км/ч, второй ехал со скоростью 42 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",927,3,distance,153
"Из двух разных городов в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 27 км/ч, второй ехал со скоростью 46 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",95,1,distance,130
"Из двух разных городов, расстояние между которыми 625 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 31 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",94,3,first_speed,62
"Из двух разных пунктов отправления, расстояние между которыми 80 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 20 км/ч, второй со скоростью 36 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",5,1,time,2
"Из двух разных посёлков, расстояние между которыми 385 км, навстречу друг другу одновременно выехали два грузовика. Первый ехал со скоростью 21 км/ч, второй со скоростью 56 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",5,3,time,15
